cnt,daddr,dport,hst,last,proto,saddr,sport,uri
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:55.911,6,10.2.0.1,1699,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:55.911,6,10.2.0.1,1698,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:55.911,6,10.2.0.1,1701,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:57.908,6,10.2.0.1,1698,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:59.91,6,10.2.0.1,1700,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:59.91,6,10.2.0.1,1702,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:59.91,6,10.2.0.1,1699,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:59.91,6,10.2.0.1,1698,/HWJavaSocket/images/homework_logo.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:59.91,6,10.2.0.1,1701,/HWJavaSocket/images/users.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:28:02.919,6,10.2.0.1,1700,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:28:03.915,6,10.2.0.1,1698,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:28:10.926,6,10.2.0.1,1698,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:28:11.927,6,10.2.0.1,1700,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:28:11.928,6,10.2.0.1,1698,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
NULL,128.243.21.108,80,www.cs.nott.ac.uk,2012-05-22 13:36:32.989,6,10.2.0.1,1712,/proxy.config
