daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.2,53,2012-04-25 18:32:05.854,75,1,17,10.2.0.1,51634
10.2.0.1,51634,2012-04-25 18:32:05.854,75,1,17,10.2.0.2,53
10.2.0.1,56041,2012-04-25 18:32:05.854,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:32:05.854,79,1,17,10.2.0.1,56041
10.2.0.1,60233,2012-04-25 18:32:07.856,146,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:32:07.857,146,1,17,10.2.0.1,60233
10.2.0.2,53,2012-04-25 18:32:20.867,88,1,17,10.2.0.1,57625
10.2.0.1,57625,2012-04-25 18:32:20.867,88,1,17,10.2.0.2,53
10.2.0.1,61139,2012-04-25 18:32:30.875,104,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:32:30.875,104,1,17,10.2.0.1,61139
10.2.0.1,49395,2012-04-25 18:32:34.879,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:32:34.879,82,1,17,10.2.0.1,49395
10.2.0.2,53,2012-04-25 18:32:44.887,146,1,17,10.2.0.1,58662
10.2.0.1,58662,2012-04-25 18:32:44.887,146,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:32:48.891,79,1,17,10.2.0.1,50269
10.2.0.1,50269,2012-04-25 18:32:48.891,79,1,17,10.2.0.2,53
10.2.0.1,64326,2012-04-25 18:32:48.892,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:32:48.892,75,1,17,10.2.0.1,64326
10.2.0.1,51867,2012-04-25 18:33:07.906,89,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:07.906,89,1,17,10.2.0.1,51867
10.2.0.1,64327,2012-04-25 18:33:15.913,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:15.913,88,1,17,10.2.0.1,64327
10.2.0.1,64328,2012-04-25 18:33:21.918,83,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:21.919,83,1,17,10.2.0.1,64328
10.2.0.1,49964,2012-04-25 18:33:25.922,80,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:25.923,80,1,17,10.2.0.1,49964
10.2.0.1,0,2012-04-25 18:33:27.925,47,1,1,10.2.0.2,0
10.2.0.2,0,2012-04-25 18:33:27.925,47,1,1,10.2.0.1,0
10.2.0.1,64619,2012-04-25 18:33:29.928,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:29.928,82,1,17,10.2.0.1,64619
10.2.0.1,0,2012-04-25 18:33:31.93,47,1,1,10.2.0.2,0
10.2.0.2,0,2012-04-25 18:33:31.93,47,1,1,10.2.0.1,0
10.2.0.3,138,2012-04-25 18:33:33.933,250,1,17,10.2.0.1,138
10.2.0.1,56724,2012-04-25 18:33:43.941,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:43.941,75,1,17,10.2.0.1,56724
10.2.0.1,59592,2012-04-25 18:33:43.942,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:43.942,79,1,17,10.2.0.1,59592
